"x","y"
"2013-07-05 20:00","37697"
"2013-07-06 20:00","38193"
"2013-07-07 20:00","38853"
"2013-07-08 20:00","39433"
"2013-07-09 20:00","39687"
"2013-07-10 20:00","39947"
"2013-07-11 20:00","40456"
"2013-07-12 20:00","40866"
"2013-07-13 20:00","41798"
"2013-07-14 20:00","42383"
"2013-07-15 20:00","42696"
"2013-07-16 20:00","43121"
"2013-07-17 20:00","43408"
"2013-07-18 20:00","43659"
"2013-07-19 20:00","43891"
"2013-07-20 20:00","44074"
"2013-07-21 20:00","44255"
"2013-07-22 20:00","44452"
"2013-07-23 20:00","44657"
"2013-07-24 20:00","44810"
"2013-07-25 20:00","45002"
"2013-07-26 20:00","45152"
"2013-07-27 20:00","45530"
"2013-07-28 20:00","45759"
"2013-07-29 20:00","46285"
"2013-07-30 20:00","46596"
"2013-07-31 20:00","46871"
"2013-08-01 20:00","47040"
"2013-08-02 20:00","47192"
"2013-08-03 20:00","47390"
"2013-08-04 20:00","47577"
"2013-08-05 20:00","47742"
"2013-08-06 20:00","48195"
"2013-08-07 20:00","48408"
"2013-08-08 20:00","48550"
"2013-08-09 20:00","48804"
"2013-08-10 20:00","49121"
"2013-08-11 20:00","49324"
"2013-08-12 20:00","49468"
"2013-08-13 20:00","49633"
"2013-08-14 20:00","49802"
"2013-08-15 20:00","49941"
"2013-08-16 20:00","50204"
"2013-08-17 20:00","50453"
"2013-08-18 20:00","50620"
"2013-08-19 20:00","50789"
"2013-08-20 20:00","50934"
"2013-08-21 20:00","51060"
"2013-08-22 20:00","51215"
"2013-08-23 20:00","51399"
"2013-08-24 20:00","51978"
"2013-08-25 20:00","52163"
"2013-08-26 20:00","52326"
"2013-08-27 20:00","52430"
"2013-08-28 20:00","52653"
"2013-08-29 20:00","52767"
"2013-08-30 20:00","52904"
"2013-08-31 20:00","53153"
"2013-09-01 20:00","53706"
"2013-09-02 20:00","53820"
"2013-09-03 20:00","53958"
"2013-09-04 20:00","54036"
"2013-09-05 20:00","54245"
"2013-09-06 20:00","54346"
"2013-09-07 20:00","54471"
"2013-09-08 20:00","54656"
"2013-09-09 20:00","55140"
"2013-09-10 20:00","55315"
"2013-09-11 20:00","55998"
"2013-09-12 20:00","56157"
"2013-09-13 20:00","56285"
"2013-09-14 20:00","56933"
"2013-09-15 20:00","57139"
"2013-09-16 20:00","57295"
"2013-09-17 20:00","57493"
"2013-09-18 20:00","57653"
"2013-09-19 20:00","58333"
"2013-09-20 20:00","58661"
"2013-09-21 20:00","58894"
"2013-09-22 20:00","59303"
"2013-09-23 20:00","59496"
"2013-09-24 20:00","59677"
"2013-09-25 20:00","59787"
"2013-09-26 20:00","59915"
"2013-09-27 20:00","60044"
"2013-09-28 20:00","60727"
"2013-09-29 20:00","60950"
"2013-09-30 20:00","61132"
"2013-10-01 20:00","61337"
"2013-10-02 20:00","61609"
"2013-10-03 20:00","61787"
"2013-10-04 20:00","61978"
"2013-10-05 20:00","62172"
"2013-10-06 20:00","62312"
"2013-10-07 20:00","62727"
"2013-10-08 20:00","63176"
"2013-10-09 20:00","63364"
"2013-10-10 20:00","63467"
"2013-10-11 20:00","63601"
"2013-10-12 20:00","63792"
"2013-10-13 20:00","63954"
"2013-10-14 20:00","64308"
"2013-10-15 20:00","64536"
"2013-10-16 20:00","64661"
"2013-10-17 20:00","64769"
"2013-10-18 20:00","64892"
"2013-10-19 20:00","65204"
"2013-10-20 20:00","65396"
"2013-10-21 20:00","65602"
"2013-10-22 20:00","65732"
"2013-10-23 20:00","65878"
"2013-10-24 20:00","65971"
"2013-10-25 20:00","66114"
"2013-10-26 20:00","66381"
"2013-10-27 20:00","72116"
"2013-10-28 20:00","72933"
"2013-10-29 20:00","73246"
"2013-10-30 20:00","73449"
"2013-10-31 20:00","73646"
"2013-11-01 20:00","73876"
"2013-11-02 20:00","74615"
"2013-11-03 19:00","75356"
"2013-11-04 19:00","75654"
"2013-11-05 19:00","75933"
"2013-11-06 19:00","76270"
"2013-11-07 19:00","76579"
"2013-11-08 19:00","76857"
"2013-11-09 19:00","77414"
"2013-11-10 19:00","78744"
"2013-11-11 19:00","79271"
"2013-11-12 19:00","79661"
"2013-11-13 19:00","80028"
"2013-11-14 19:00","80327"
"2013-11-15 19:00","80719"
"2013-11-16 19:00","81192"
"2013-11-17 19:00","81639"
"2013-11-18 19:00","82095"
"2013-11-19 19:00","82724"
"2013-11-20 19:00","83345"
"2013-11-21 19:00","83608"
"2013-11-22 19:00","83909"
"2013-11-23 19:00","84452"
"2013-11-24 19:00","84782"
"2013-11-25 19:00","85094"
"2013-11-26 19:00","85375"
"2013-11-27 19:00","86091"
"2013-11-28 19:00","86634"
"2013-11-29 19:00","87142"
"2013-11-30 19:00","87615"
"2013-12-01 19:00","88161"
"2013-12-02 19:00","88676"
"2013-12-03 19:00","89031"
"2013-12-04 19:00","89420"
"2013-12-05 19:00","89869"
"2013-12-06 19:00","90195"
"2013-12-07 19:00","90628"
"2013-12-08 19:00","91037"
"2013-12-09 19:00","91393"
"2013-12-10 19:00","91797"
"2013-12-11 19:00","92372"
"2013-12-12 19:00","92654"
"2013-12-13 19:00","92992"
"2013-12-14 19:00","93501"
"2013-12-15 19:00","93913"
"2013-12-16 19:00","94394"
"2013-12-17 19:00","95251"
"2013-12-18 19:00","95597"
"2013-12-19 19:00","95974"
"2013-12-20 19:00","96258"
"2013-12-21 19:00","96794"
"2013-12-22 19:00","97401"
"2013-12-23 19:00","97817"
"2013-12-24 19:00","98230"
"2013-12-25 19:00","98720"
"2013-12-26 19:00","99036"
"2013-12-27 19:00","99521"
"2013-12-28 19:00","100016"
"2013-12-29 19:00","100383"
"2013-12-30 19:00","101029"
"2013-12-31 19:00","101733"
"2014-01-01 19:00","102362"
"2014-01-02 19:00","102932"
"2014-01-03 19:00","103419"
"2014-01-04 19:00","103817"
"2014-01-05 19:00","104310"
"2014-01-06 19:00","104884"
"2014-01-07 19:00","106061"
"2014-01-08 19:00","106451"
"2014-01-09 19:00","106793"
"2014-01-10 19:00","109130"
"2014-01-11 19:00","110290"
"2014-01-12 19:00","111024"
"2014-01-13 19:00","111573"
"2014-01-14 19:00","112087"
"2014-01-15 19:00","112522"
"2014-01-16 19:00","112965"
"2014-01-17 19:00","113312"
"2014-01-18 19:00","115460"
"2014-01-19 19:00","115972"
"2014-01-20 19:00","116516"
"2014-01-21 19:00","117648"
"2014-01-22 19:00","118184"
"2014-01-23 19:00","118570"
"2014-01-24 19:00","120954"
"2014-01-25 19:00","121868"
"2014-01-26 19:00","122327"
"2014-01-27 19:00","122810"
"2014-01-28 19:00","123208"
"2014-01-29 19:00","123585"
"2014-01-30 19:00","124856"
"2014-01-31 19:00","125260"
"2014-02-01 19:00","125712"
"2014-02-02 19:00","126420"
"2014-02-03 19:00","150517"
"2014-02-04 19:00","153621"
"2014-02-05 19:00","154557"
"2014-02-06 19:00","155031"
"2014-02-07 19:00","155597"
"2014-02-08 19:00","156693"
"2014-02-09 19:00","158808"
"2014-02-10 19:00","159944"
"2014-02-11 19:00","160699"
"2014-02-12 19:00","161286"
"2014-02-13 19:00","161779"
"2014-02-14 19:00","162152"
"2014-02-15 19:00","162871"
"2014-02-16 19:00","163485"
"2014-02-17 19:00","164225"
"2014-02-18 19:00","164909"
"2014-02-19 19:00","165730"
"2014-02-20 19:00","166167"
"2014-02-21 19:00","166562"
"2014-02-22 19:00","167507"
"2014-02-23 19:00","168472"
"2014-02-24 19:00","171176"
"2014-02-25 19:00","171849"
"2014-02-26 19:00","172601"
"2014-02-27 19:00","173081"
"2014-02-28 19:00","173831"
"2014-03-01 19:00","174411"
"2014-03-02 19:00","174900"
"2014-03-03 19:00","175458"
"2014-03-04 19:00","176384"
"2014-03-05 19:00","176959"
"2014-03-06 19:00","177473"
"2014-03-07 19:00","178749"
"2014-03-08 19:00","179310"
"2014-03-09 20:00","179872"
"2014-03-10 20:00","180375"
"2014-03-11 20:00","180739"
"2014-03-12 20:00","181328"
"2014-03-13 20:00","181752"
"2014-03-14 20:00","182153"
"2014-03-15 20:00","182784"
"2014-03-16 20:00","183433"
"2014-03-17 20:00","183975"
"2014-03-18 20:00","184370"
"2014-03-19 20:00","184765"
"2014-03-20 20:00","185467"
"2014-03-21 20:00","186080"
"2014-03-22 20:00","186632"
"2014-03-23 20:00","187532"
"2014-03-24 20:00","188107"
"2014-03-25 20:00","188599"
"2014-03-26 20:00","189426"
"2014-03-27 20:00","189783"
"2014-03-28 20:00","190156"
"2014-03-29 20:00","190602"
"2014-03-30 20:00","191051"
"2014-03-31 20:00","192722"
"2014-04-01 20:00","193275"
"2014-04-02 20:00","193686"
"2014-04-03 20:00","194801"
"2014-04-04 20:00","195564"
"2014-04-05 20:00","196263"
"2014-04-06 20:00","197021"
"2014-04-07 20:00","197446"
"2014-04-08 20:00","201488"
"2014-04-09 20:00","204365"
"2014-04-10 20:00","213975"
"2014-04-11 20:00","215605"
"2014-04-12 20:00","216294"
"2014-04-13 20:00","217262"
"2014-04-14 20:00","218205"
"2014-04-15 20:00","218806"
"2014-04-16 20:00","220075"
"2014-04-17 20:00","220508"
"2014-04-18 20:00","221096"
"2014-04-19 20:00","223681"
"2014-04-20 20:00","226090"
"2014-04-21 20:00","227325"
"2014-04-22 20:00","227970"
"2014-04-23 20:00","228549"
"2014-04-24 20:00","229121"
"2014-04-25 20:00","229479"
"2014-04-26 20:00","229888"
"2014-04-27 20:00","230378"
"2014-04-28 20:00","231182"
"2014-04-29 20:00","231981"
"2014-04-30 20:00","232504"
"2014-05-01 20:00","232885"
"2014-05-02 20:00","233236"
"2014-05-03 20:00","233799"
"2014-05-04 20:00","234488"
"2014-05-05 20:00","235208"
"2014-05-06 20:00","252902"
"2014-05-07 20:00","263259"
"2014-05-08 20:00","271046"
"2014-05-09 20:00","278354"
"2014-05-10 20:00","286919"
"2014-05-11 20:00","297162"
"2014-05-12 20:00","306290"
"2014-05-13 20:00","314646"
"2014-05-14 20:00","322924"
"2014-05-15 20:00","329513"
"2014-05-16 20:00","335726"
"2014-05-17 20:00","342869"
"2014-05-18 20:00","350525"
"2014-05-19 20:00","358172"
"2014-05-20 20:00","365415"
"2014-05-21 20:00","372557"
"2014-05-22 20:00","379209"
"2014-05-23 20:00","385518"
"2014-05-24 20:00","392207"
"2014-05-25 20:00","399920"
"2014-05-26 20:00","408267"
"2014-05-27 20:00","415560"
"2014-05-28 20:00","422503"
"2014-05-29 20:00","429101"
"2014-05-30 20:00","435308"
"2014-05-31 20:00","442302"
"2014-06-01 20:00","449832"
"2014-06-02 20:00","457082"
"2014-06-03 20:00","465018"
"2014-06-04 20:00","472725"
"2014-06-05 20:00","479344"
"2014-06-06 20:00","485513"
"2014-06-07 20:00","492469"
"2014-06-08 20:00","499544"
"2014-06-09 20:00","506809"
"2014-06-10 20:00","513556"
"2014-06-11 20:00","519416"
"2014-06-12 20:00","525594"
"2014-06-13 20:00","531615"
"2014-06-14 20:00","538210"
"2014-06-15 20:00","545188"
"2014-06-16 20:00","553124"
"2014-06-17 20:00","559989"
"2014-06-18 20:00","567257"
"2014-06-19 20:00","573703"
"2014-06-20 20:00","579902"
"2014-06-21 20:00","586502"
"2014-06-22 20:00","593594"
"2014-06-23 20:00","600648"
"2014-06-24 20:00","607070"
"2014-06-25 20:00","614354"
"2014-06-26 20:00","620399"
"2014-06-27 20:00","626196"
"2014-06-28 20:00","632735"
"2014-06-29 20:00","639762"
"2014-06-30 20:00","646629"
"2014-07-01 20:00","653853"
"2014-07-02 20:00","660628"
"2014-07-03 20:00","666687"
"2014-07-04 20:00","673041"
"2014-07-05 20:00","680500"
"2014-07-06 20:00","689791"
"2014-07-07 20:00","700550"
"2014-07-08 20:00","709585"
"2014-07-09 20:00","717329"
"2014-07-10 20:00","724517"
"2014-07-11 20:00","731090"
"2014-07-12 20:00","738231"
"2014-07-13 20:00","746296"
"2014-07-14 20:00","754441"
"2014-07-15 20:00","762367"
"2014-07-16 20:00","770034"
"2014-07-17 20:00","776946"
"2014-07-18 20:00","783697"
"2014-07-19 20:00","791422"
"2014-07-20 20:00","799471"
"2014-07-21 20:00","807870"
"2014-07-22 20:00","815764"
"2014-07-23 20:00","823326"
"2014-07-24 20:00","830397"
"2014-07-25 20:00","837001"
"2014-07-26 20:00","844576"
"2014-07-27 20:00","852958"
"2014-07-28 20:00","861527"
"2014-07-29 20:00","870289"
"2014-07-30 20:00","878200"
"2014-07-31 20:00","885509"
"2014-08-01 20:00","892213"
